Stage,Group,Home,Away,HomeGoals,AwayGoals,Winner,HomeWinProb,DrawProb,AwayWinProb
Group,A,Mexico,South Africa,2,1,Mexico,0.6985008220495175,0.19135144688677025,0.11014773106371234
Group,A,South Korea,Czech Republic,2,1,South Korea,0.3482606988651718,0.31035777978966533,0.34138152134516286
Group,A,Czech Republic,South Africa,2,0,Czech Republic,0.5981820477011628,0.25152922132321254,0.1502887309756247
Group,A,Mexico,South Korea,2,1,Mexico,0.4473496398241054,0.33741408388314786,0.21523627629274675
Group,A,South Africa,South Korea,1,2,South Korea,0.16877755189183624,0.3402521259812602,0.49097032212690356
Group,A,Czech Republic,Mexico,1,1,Draw,0.282452298183261,0.36076378653137064,0.3567839152853684
Group,B,Canada,Bosnia and Herzegovina,2,0,Canada,0.6049484747134922,0.25615462385779664,0.13889690142871108
Group,B,Qatar,Switzerland,0,2,Switzerland,0.0,0.05357142857142857,0.9464285714285715
Group,B,Switzerland,Bosnia and Herzegovina,2,1,Switzerland,0.5132544881479763,0.3103302824554882,0.17641522939653548
Group,B,Canada,Qatar,3,0,Canada,0.8150112681804389,0.13016230542636067,0.05482642639320048
Group,B,Switzerland,Canada,1,1,Draw,0.3836606794892583,0.4134755017313002,0.2028638187794415
Group,B,Bosnia and Herzegovina,Qatar,2,0,Bosnia and Herzegovina,0.7053416462518527,0.20627389545563068,0.08838445829251666
Group,C,Brazil,Morocco,2,1,Brazil,0.441853191691817,0.36858340502237785,0.189563403285805
Group,C,Haiti,Scotland,1,2,Scotland,0.17224621799409065,0.21305101251029007,0.6147027694956193
Group,C,Scotland,Morocco,1,2,Morocco,0.3005695819664186,0.34428965557847435,0.3551407624551072
Group,C,Brazil,Haiti,6,0,Brazil,0.8844727711549597,0.09634515618822019,0.01918207265682012
Group,C,Morocco,Haiti,5,0,Morocco,0.8286036863667208,0.12312009460139592,0.04827621903188319
Group,C,Scotland,Brazil,1,2,Brazil,0.061198379586204624,0.23410649897996674,0.7046951214338286
Group,D,United States,Paraguay,1,1,Draw,0.3359135925589872,0.38443508612871363,0.27965132131229925
Group,D,Australia,Turkey,0,2,Turkey,0.14285121133675582,0.2649864534115254,0.5921623352517189
Group,D,United States,Australia,1,1,Draw,0.3398191264565362,0.4165988170696714,0.2435820564737924
Group,D,Turkey,Paraguay,2,1,Turkey,0.4011022201119534,0.379238556298919,0.21965922358912757
Group,D,Turkey,United States,2,1,Turkey,0.4167527316532986,0.3595563654297492,0.22369090291695218
Group,D,Paraguay,Australia,2,1,Paraguay,0.3803223484269466,0.33200249170731116,0.28767515986574227
Group,E,Ivory Coast,Ecuador,1,1,Draw,0.2990646536178203,0.44313811314755275,0.25779723323462694
Group,E,Germany,Ivory Coast,2,1,Germany,0.6192865166745072,0.249545519629263,0.13116796369622988
Group,E,Ecuador,Germany,1,2,Germany,0.24754567739626374,0.2272249683250694,0.525229354278667
Group,F,Netherlands,Japan,2,1,Netherlands,0.48499969989065594,0.28760773725758704,0.22739256285175707
Group,F,Sweden,Tunisia,2,1,Sweden,0.46781159242335857,0.30940398547550413,0.22278442210113725
Group,F,Netherlands,Sweden,2,1,Netherlands,0.5437760464114253,0.2599257093290419,0.19629824425953282
Group,F,Tunisia,Japan,1,2,Japan,0.14278455539889862,0.3301478290240522,0.5270676155770493
Group,F,Tunisia,Netherlands,0,3,Netherlands,0.01694915254237288,0.08952827582964569,0.8935225716279815
Group,F,Japan,Sweden,2,1,Japan,0.398892183439039,0.3279975465443169,0.2731102700166442
Group,G,Belgium,Egypt,2,1,Belgium,0.6039355204135253,0.28002927664859395,0.11603520293788083
Group,G,Iran,New Zealand,2,1,Iran,0.4682963185573093,0.33024463393033443,0.20145904751235627
Group,G,Belgium,Iran,2,0,Belgium,0.5642209189591225,0.3199809775040071,0.11579810353687044
Group,G,New Zealand,Egypt,1,2,Egypt,0.33271555774077827,0.32931127459243176,0.3379731676667899
Group,G,New Zealand,Belgium,1,2,Belgium,0.03522940378564611,0.19713033636697502,0.7676402598473789
Group,G,Egypt,Iran,1,1,Draw,0.33537244976791253,0.37286413963646375,0.2917634105956238
Group,H,Saudi Arabia,Uruguay,1,3,Uruguay,0.06635353918784537,0.25912999329835285,0.6745164675138018
Group,H,Spain,Saudi Arabia,3,0,Spain,0.8247058900829216,0.13417904764194452,0.04111506227513384
Group,H,Uruguay,Spain,1,2,Spain,0.20869867354867191,0.2807321791637308,0.5105691472875973
Group,I,France,Senegal,2,1,France,0.5893304117626598,0.23686159903188067,0.1738079892054595
Group,I,Iraq,Norway,0,2,Norway,0.04039813524905948,0.24600446301202988,0.7135974017389106
Group,I,France,Iraq,6,0,France,0.9442757938102784,0.04636483462264238,0.009359371567079333
Group,I,Norway,Senegal,1,2,Senegal,0.3319007612625832,0.3057505728938569,0.36234866584355985
Group,I,Norway,France,0,2,France,0.11636800844748145,0.24864399774564414,0.6349879938068744
Group,I,Senegal,Iraq,4,1,Senegal,0.7886024259240011,0.16111811990437627,0.0502794541716227
Group,J,Argentina,Algeria,2,1,Argentina,0.5811353967516653,0.2823778759157566,0.13648672733257822
Group,J,Argentina,Austria,2,1,Argentina,0.546038736364553,0.3065755344850475,0.14738572915039952
Group,J,Algeria,Austria,1,1,Draw,0.3067490323027765,0.37786416584330507,0.3153868018539185
Group,K,Colombia,Portugal,1,2,Portugal,0.32652809816776424,0.23165499604997875,0.44181690578225696
Group,L,England,Croatia,2,1,England,0.4372024284103693,0.35982296081478626,0.2029746107748444
Group,L,Ghana,Panama,1,1,Draw,0.3307597718522307,0.37328458196684056,0.2959556461809287
Group,L,England,Ghana,2,1,England,0.6328516636641472,0.2457340192008683,0.12141431713498434
Group,L,Panama,Croatia,1,2,Croatia,0.1802361595723578,0.16275233418578644,0.6570115062418558
Group,L,Panama,England,1,2,England,0.09172872964653356,0.11974890815333347,0.788522362200133
Group,L,Croatia,Ghana,2,1,Croatia,0.530634245470469,0.3118557356649384,0.15751001886459268
Round of 32,,Mexico,Ivory Coast,2,1,Mexico,0.4447202562136825,0.320163424180786,0.23511631960553142
Round of 32,,Canada,United States,2,1,Canada,0.42828966899431925,0.24992384243968147,0.3217864885659994
Round of 32,,Brazil,Norway,2,1,Brazil,0.5491108115380399,0.29297551378202835,0.15791367467993184
Round of 32,,Turkey,Bosnia and Herzegovina,2,1,Turkey,0.540026604033179,0.2758855320467933,0.1840878639200277
Round of 32,,Germany,Sweden,2,1,Germany,0.6793430152692259,0.2057632759864118,0.11489370874436222
Round of 32,,Netherlands,Scotland,2,1,Netherlands,0.4615754850040972,0.3154361505495101,0.22298836444639275
Round of 32,,Belgium,Iran,2,0,Belgium,0.5642209189591225,0.3199809775040071,0.11579810353687044
Round of 32,,Spain,Czech Republic,2,1,Spain,0.6585030505245837,0.2183697409606304,0.1231272085147859
Round of 32,,South Korea,Switzerland,1,2,Switzerland,0.29153241279757386,0.3389324470453848,0.36953514015704136
Round of 32,,Morocco,Paraguay,2,1,Morocco,0.5068370858412129,0.2907742480618416,0.2023886660969456
Round of 32,,Ecuador,Japan,3,2,Ecuador,0.3929589061930875,0.2824765512468596,0.3245645425600528
Round of 32,,Egypt,Uruguay,1,2,Uruguay,0.13632899742095092,0.32902035200435353,0.5346506505746955
Round of 32,,France,Algeria,3,1,France,0.6717588359558178,0.18386823729466156,0.14437292674952057
Round of 32,,Portugal,Croatia,2,1,Portugal,0.45055305314388194,0.3357265149258956,0.21372043193022244
Round of 32,,Argentina,Senegal,2,1,Argentina,0.5477396412438367,0.27511221189019147,0.1771481468659719
Round of 16,,Mexico,Canada,2,1,Mexico,0.4382911248462945,0.34506992276976234,0.216638952383943
Round of 16,,Brazil,Turkey,2,1,Brazil,0.5775797948530946,0.2544508582363485,0.16796934691055698
Round of 16,,Germany,Netherlands,2,1,Germany,0.4135838596123217,0.2708283172285785,0.31558782315909983
Round of 16,,Belgium,Spain,1,2,Spain,0.24664369320124493,0.3060747756511731,0.4472815311475819
Round of 16,,Switzerland,Morocco,1,1,Switzerland,0.32431173080307285,0.3524296003190804,0.3232586688778467
Round of 16,,Ecuador,Uruguay,1,2,Uruguay,0.2986113526786547,0.31714005233373677,0.38424859498760855
Round of 16,,France,Portugal,2,1,France,0.39875663447105386,0.36284963664483183,0.23839372888411434
Round of 16,,Argentina,England,2,1,Argentina,0.4225586986326307,0.353602176195493,0.22383912517187637
Quarterfinals,,Mexico,Brazil,1,2,Brazil,0.21080132777354846,0.24757145463973146,0.5416272175867202
Quarterfinals,,Germany,Spain,1,2,Spain,0.2926734056448565,0.34005198532630826,0.3672746090288352
Quarterfinals,,Switzerland,Uruguay,1,2,Uruguay,0.31226076128351604,0.3333936126545227,0.3543456260619613
Quarterfinals,,France,Argentina,1,2,Argentina,0.24584744252415108,0.37371136231318797,0.38044119516266095
Semifinals,,Brazil,Spain,1,2,Spain,0.30952097303872816,0.29418190194485805,0.39629712501641373
Semifinals,,Uruguay,Argentina,1,2,Argentina,0.20579104769441442,0.2372790968986354,0.5569298554069502
Final,,Spain,Argentina,1,1,Spain,0.33539471625334993,0.3555809447740293,0.30902433897262077
