,R32,R16,QF,SF,Final,Champion
Czech Republic,91.44,45.86,18.08,5.7,1.66,0.4
Mexico,93.9,60.64,34.5,16.0,6.8,2.74
South Africa,26.46,3.94,0.54,0.18,0.0,0.0
South Korea,84.54,40.16,17.02,5.92,1.24,0.28
Bosnia and Herzegovina,86.38,14.54,2.84,0.2,0.02,0.0
Canada,98.86,47.44,17.52,3.96,0.82,0.08
Qatar,10.7,0.22,0.0,0.0,0.0,0.0
Switzerland,98.48,62.98,35.2,15.88,5.58,1.92
Brazil,99.92,83.34,67.14,48.5,26.38,13.84
Haiti,11.84,0.46,0.02,0.0,0.0,0.0
Morocco,99.52,61.76,35.44,16.3,5.86,2.02
Scotland,82.96,34.0,13.98,4.3,0.82,0.16
Australia,60.0,16.38,3.96,1.26,0.28,0.08
Paraguay,66.46,20.68,5.48,1.56,0.38,0.08
Turkey,93.98,51.36,20.04,9.56,3.66,0.98
United States,75.88,27.36,7.88,2.4,0.34,0.1
Curacao,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,67.86,36.36,15.7,6.72,1.8,0.38
Germany,93.96,75.32,50.48,31.26,18.28,9.62
Ivory Coast,55.46,27.64,10.32,3.72,0.84,0.16
Japan,87.04,39.04,13.78,5.0,1.64,0.42
Netherlands,97.88,74.76,44.6,24.4,14.42,7.2
Sweden,73.76,24.16,7.62,2.06,0.58,0.16
Tunisia,35.72,6.6,1.22,0.2,0.04,0.0
Belgium,98.82,71.52,32.94,18.66,9.38,3.76
Egypt,71.1,22.72,6.6,1.96,0.26,0.02
Iran,73.04,15.4,3.06,0.62,0.1,0.02
New Zealand,51.64,7.74,1.0,0.2,0.04,0.02
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,15.62,3.32,0.64,0.04,0.0,0.0
Spain,98.38,85.68,61.18,35.06,21.08,13.12
Uruguay,91.28,64.44,34.44,20.2,7.76,3.38
France,99.92,74.48,46.22,27.44,19.88,12.72
Iraq,6.86,0.34,0.08,0.02,0.0,0.0
Norway,91.06,32.5,14.04,4.38,1.24,0.42
Senegal,97.46,42.78,22.74,8.98,3.9,1.68
Algeria,55.2,13.64,5.14,1.48,0.44,0.14
Argentina,92.42,61.52,39.5,24.32,16.44,9.6
Austria,68.94,20.38,9.06,2.94,0.96,0.32
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,56.36,37.82,15.62,6.78,3.54,1.48
DR Congo,75.62,0.0,0.0,0.0,0.0,0.0
Portugal,68.02,44.92,21.84,12.36,6.66,3.6
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,85.82,46.0,18.54,7.24,3.14,1.18
England,95.38,71.84,39.66,21.58,13.66,7.92
Ghana,55.06,15.62,2.82,0.44,0.04,0.0
Panama,59.0,12.34,1.52,0.22,0.04,0.0
